epoch,accuracy,loss,val_accuracy,val_loss
0,0.3678383529186249,1.3295375108718872,0.4438040256500244,1.279463768005371
1,0.6448934674263,0.9828485250473022,0.6541786789894104,0.949329674243927
2,0.793523371219635,0.5850656628608704,0.6743515729904175,0.8003924489021301
3,0.8505397439002991,0.4236721396446228,0.6945244669914246,0.8014301061630249
4,0.8892886638641357,0.3283552825450897,0.6945244669914246,0.847381055355072
5,0.9086631536483765,0.2715400755405426,0.6772334575653076,0.8549002408981323
6,0.9313589930534363,0.22027738392353058,0.680115282535553,0.9366062879562378
7,0.9432604312896729,0.18385909497737885,0.6685879230499268,0.9887447953224182
8,0.9482424855232239,0.16014409065246582,0.6772334575653076,1.0493642091751099
9,0.9584832787513733,0.13744845986366272,0.6685879230499268,1.115614414215088
10,0.9631884694099426,0.11928267776966095,0.680115282535553,1.1674457788467407
11,0.9667866230010986,0.11310750246047974,0.6628242135047913,1.2296608686447144
12,0.9712150692939758,0.0994224101305008,0.6714697480201721,1.26707923412323
13,0.9698311686515808,0.09556319564580917,0.6743515729904175,1.3558286428451538
14,0.973429262638092,0.08530654013156891,0.6743515729904175,1.3196145296096802
15,0.972875714302063,0.08156278729438782,0.6714697480201721,1.3749803304672241
16,0.973706066608429,0.08120416104793549,0.680115282535553,1.440690040588379
17,0.974259614944458,0.0824773982167244,0.680115282535553,1.4774439334869385
18,0.977027416229248,0.07162224501371384,0.6714697480201721,1.4885278940200806
19,0.9753667116165161,0.06655149161815643,0.6570605039596558,1.5221381187438965
20,0.9753667116165161,0.06891638785600662,0.6714697480201721,1.5318092107772827
21,0.9778577089309692,0.06646859645843506,0.6743515729904175,1.5649113655090332
22,0.9778577089309692,0.05940113216638565,0.6685879230499268,1.641908884048462
23,0.9773041605949402,0.05883660167455673,0.6714697480201721,1.5957196950912476
24,0.9767506122589111,0.05600329115986824,0.6714697480201721,1.6727312803268433
